2021-10-11 05:52:43.326 | Generator: 3 -  START
2021-10-11 05:52:43.333 | Generator: 4 -  START
2021-10-11 05:52:43.335 | Generator: 11 -  START
2021-10-11 05:52:43.336 | Generator: 20 -  START
----------------------------------------
1 | Generator: 2 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3251727 | Quantity: 0,19414894192517532
2 | Generator: 0 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3251816 | Quantity: 0,06553696136248156
3 | Generator: 1 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3251895 | Quantity: 0,2544326829356604
4 | Generator: 3 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3251946 | Quantity: 0,20470628412659572
5 | Generator: 7 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403388 | Quantity: 0,042612962320421964
6 | Generator: 5 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403389 | Quantity: 0,003998676068459332
7 | Generator: 13 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403558 | Quantity: 0,0169629357834174
8 | Generator: 4 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403387 | Quantity: 0,029959995437705268
9 | Generator: 6 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403389 | Quantity: 0,21197472311493074
10 | Generator: 15 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403659 | Quantity: 0,15089498591495756
11 | Generator: 8 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403676 | Quantity: 0,0246514047300372
12 | Generator: 17 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403678 | Quantity: 0,056593060643998785
13 | Generator: 10 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403708 | Quantity: 0,12148353040908316
14 | Generator: 9 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403713 | Quantity: 0,018414904061587637
15 | Generator: 12 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403726 | Quantity: 0,051562754088809136
16 | Generator: 11 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403720 | Quantity: 0,13381628797722497
17 | Generator: 14 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403739 | Quantity: 0,1669612846804292
18 | Generator: 16 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403755 | Quantity: 0,1938031871774249
19 | Generator: 20 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403775 | Quantity: 0,23655936853179058
20 | Generator: 19 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403772 | Quantity: 0,050505970441971894
----------------------------------------

----------------------------------------
1 | Generator: 18 | Date: 11.10.2021 05:52:44 | Time: 05:52:44.3403789 | Quantity: 0,16528231658287454
2 | Generator: 3 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3259097 | Quantity: 0,1286019597801389
3 | Generator: 2 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3266622 | Quantity: 0,14432367776101004
4 | Generator: 0 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3266545 | Quantity: 0,02114965159189095
5 | Generator: 1 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3264203 | Quantity: 0,11358115069890137
6 | Generator: 13 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3428158 | Quantity: 0,17709773600897646
7 | Generator: 5 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3428728 | Quantity: 0,05765411235593296
8 | Generator: 4 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3427706 | Quantity: 0,20342646051978683
9 | Generator: 7 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3429950 | Quantity: 0,057043607932070084
10 | Generator: 15 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3430256 | Quantity: 0,13338818456980162
11 | Generator: 10 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3431571 | Quantity: 0,20205129518579595
12 | Generator: 17 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3433027 | Quantity: 0,24941648989112572
13 | Generator: 14 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3432640 | Quantity: 0,24717297192996973
14 | Generator: 19 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3434829 | Quantity: 0,22108207553985934
15 | Generator: 16 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3434895 | Quantity: 0,013474723330454305
16 | Generator: 6 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3435826 | Quantity: 0,014897616711242257
17 | Generator: 8 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3435934 | Quantity: 0,12740757918330262
18 | Generator: 12 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3434877 | Quantity: 0,10047524948626535
19 | Generator: 9 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3437026 | Quantity: 0,032873718207488016
20 | Generator: 11 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3437150 | Quantity: 0,25465388744510115
----------------------------------------

----------------------------------------
1 | Generator: 20 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3437420 | Quantity: 0,1338396295286589
2 | Generator: 18 | Date: 11.10.2021 05:52:45 | Time: 05:52:45.3439055 | Quantity: 0,08120692438191747
3 | Generator: 1 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3411335 | Quantity: 0,2584358192941962
4 | Generator: 3 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3411445 | Quantity: 0,018260315317471347
5 | Generator: 0 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3411507 | Quantity: 0,1026668067257852
6 | Generator: 2 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3412137 | Quantity: 0,04644970399317473
7 | Generator: 5 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3580798 | Quantity: 0,26505481041892814
8 | Generator: 12 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3580965 | Quantity: 0,2381291391815971
9 | Generator: 18 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3581342 | Quantity: 0,1950817135139749
10 | Generator: 13 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3581219 | Quantity: 0,058157226470372275
11 | Generator: 10 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3581874 | Quantity: 0,2604430011134174
12 | Generator: 9 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3581942 | Quantity: 0,2000366578189206
13 | Generator: 16 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3581970 | Quantity: 0,20837055230902998
14 | Generator: 4 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3581978 | Quantity: 0,03501231485745512
15 | Generator: 15 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3582012 | Quantity: 0,25104955545830676
16 | Generator: 14 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3582046 | Quantity: 0,24448116718689655
17 | Generator: 17 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3582058 | Quantity: 0,0036395306405484977
18 | Generator: 19 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3582082 | Quantity: 0,08443038728294446
19 | Generator: 8 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3582141 | Quantity: 0,1784184517548816
20 | Generator: 6 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3582180 | Quantity: 0,04710281232702677
----------------------------------------

----------------------------------------
1 | Generator: 11 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3582208 | Quantity: 0,01010540277236393
2 | Generator: 20 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3582212 | Quantity: 0,2527058611248492
3 | Generator: 7 | Date: 11.10.2021 05:52:46 | Time: 05:52:46.3581148 | Quantity: 0,23834133829844245
4 | Generator: 0 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3447421 | Quantity: 0,035070161413589256
5 | Generator: 2 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3447488 | Quantity: 0,13083068337174938
6 | Generator: 1 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3447728 | Quantity: 0,06749647424284515
7 | Generator: 3 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3448120 | Quantity: 0,09263256730479154
8 | Generator: 16 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587043 | Quantity: 0,03192008337871486
9 | Generator: 18 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587082 | Quantity: 0,2509847111926964
10 | Generator: 17 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587140 | Quantity: 0,21360238750788182
11 | Generator: 8 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587213 | Quantity: 0,09772483003219815
12 | Generator: 12 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587044 | Quantity: 0,044085252553885144
13 | Generator: 13 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587250 | Quantity: 0,1971414116197924
14 | Generator: 5 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587249 | Quantity: 0,2622617393711559
15 | Generator: 11 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587244 | Quantity: 0,1665484345983163
16 | Generator: 10 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587290 | Quantity: 0,0953203315980051
17 | Generator: 4 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587313 | Quantity: 0,07542541837727594
18 | Generator: 15 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587336 | Quantity: 0,16411873730712204
19 | Generator: 9 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587332 | Quantity: 0,009631029645119653
20 | Generator: 19 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587352 | Quantity: 0,2564133646539785
----------------------------------------

----------------------------------------
1 | Generator: 6 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587372 | Quantity: 0,16186727752375135
2 | Generator: 14 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587374 | Quantity: 0,1983152337054017
3 | Generator: 20 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587386 | Quantity: 0,04746004494254479
4 | Generator: 7 | Date: 11.10.2021 05:52:47 | Time: 05:52:47.3587412 | Quantity: 0,24254936313996217
5 | Generator: 2 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3452186 | Quantity: 0,1518934589586656
6 | Generator: 3 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3453092 | Quantity: 0,14969788498696773
7 | Generator: 1 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3453312 | Quantity: 0,04700375226341983
8 | Generator: 0 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3453352 | Quantity: 0,11430262245593405
9 | Generator: 18 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591836 | Quantity: 0,021749737372194915
10 | Generator: 12 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591835 | Quantity: 0,10504040847146283
11 | Generator: 16 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591865 | Quantity: 0,018476942190191213
12 | Generator: 17 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591940 | Quantity: 0,03161793489239703
13 | Generator: 19 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591943 | Quantity: 0,20437529506365548
14 | Generator: 4 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591938 | Quantity: 0,1294878493355686
15 | Generator: 20 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591980 | Quantity: 0,007792411624046855
16 | Generator: 8 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591984 | Quantity: 0,00950304295068438
17 | Generator: 13 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3591991 | Quantity: 0,012908048437089372
18 | Generator: 11 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3592015 | Quantity: 0,22934586354345668
19 | Generator: 10 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3592025 | Quantity: 0,19960857390718312
20 | Generator: 5 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3592041 | Quantity: 0,010165856286650147
----------------------------------------

----------------------------------------
1 | Generator: 15 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3592049 | Quantity: 0,061691779547848324
2 | Generator: 9 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3592078 | Quantity: 0,22213018882187557
3 | Generator: 7 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3592090 | Quantity: 0,0611308676785778
4 | Generator: 6 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3592091 | Quantity: 0,10086741812257131
5 | Generator: 14 | Date: 11.10.2021 05:52:48 | Time: 05:52:48.3592115 | Quantity: 0,22905702750620296
6 | Generator: 5 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589534 | Quantity: 0,22317279053689265
7 | Generator: 14 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589534 | Quantity: 0,180526921982191
8 | Generator: 1 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589583 | Quantity: 0,16621219958157538
9 | Generator: 6 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589638 | Quantity: 0,023412499836062004
10 | Generator: 9 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589722 | Quantity: 0,25203896958941546
11 | Generator: 10 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589726 | Quantity: 0,2545006102515232
12 | Generator: 13 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589730 | Quantity: 0,12134772892483249
13 | Generator: 15 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589765 | Quantity: 0,1838713808220523
14 | Generator: 11 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589801 | Quantity: 0,11388163932003778
15 | Generator: 7 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589765 | Quantity: 0,25223511369847773
16 | Generator: 8 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589845 | Quantity: 0,13941385355129862
17 | Generator: 12 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589759 | Quantity: 0,025833080596833684
18 | Generator: 20 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589865 | Quantity: 0,19353464950195887
19 | Generator: 19 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589878 | Quantity: 0,14164173162618734
20 | Generator: 17 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589911 | Quantity: 0,2610474729263445
----------------------------------------

----------------------------------------
1 | Generator: 18 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589915 | Quantity: 0,0012461045141856984
2 | Generator: 16 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589915 | Quantity: 0,010288044690909505
3 | Generator: 4 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589792 | Quantity: 0,002215133732595388
4 | Generator: 0 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589943 | Quantity: 0,09608514748020958
5 | Generator: 3 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589951 | Quantity: 0,17717059933448706
6 | Generator: 2 | Date: 11.10.2021 05:52:49 | Time: 05:52:49.3589956 | Quantity: 0,1488958498535503
7 | Generator: 3 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660100 | Quantity: 0,03351401179106006
8 | Generator: 0 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660275 | Quantity: 0,04304138200499182
9 | Generator: 2 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660479 | Quantity: 0,21116148491599357
10 | Generator: 4 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660584 | Quantity: 0,12974550270618818
11 | Generator: 18 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660665 | Quantity: 0,2635757712012044
12 | Generator: 17 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660676 | Quantity: 0,10022225310105003
13 | Generator: 8 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660755 | Quantity: 0,1406057975599259
14 | Generator: 19 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660764 | Quantity: 0,06492200807276587
15 | Generator: 11 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660827 | Quantity: 0,08290761750326846
16 | Generator: 15 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660851 | Quantity: 0,046319782755486566
17 | Generator: 6 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3660941 | Quantity: 0,2030290924958089
18 | Generator: 14 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661035 | Quantity: 0,12915125048214163
19 | Generator: 13 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661039 | Quantity: 0,0719045127766383
20 | Generator: 7 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661158 | Quantity: 0,069773992183513
----------------------------------------

----------------------------------------
1 | Generator: 20 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661160 | Quantity: 0,26183877413246726
2 | Generator: 10 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661191 | Quantity: 0,046640795739355555
3 | Generator: 16 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661228 | Quantity: 0,01151499065796301
4 | Generator: 5 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661254 | Quantity: 0,25689181871257033
5 | Generator: 12 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661276 | Quantity: 0,11992468206208416
6 | Generator: 1 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661308 | Quantity: 0,20982366772826
7 | Generator: 9 | Date: 11.10.2021 05:52:50 | Time: 05:52:50.3661337 | Quantity: 0,012632612641574479
8 | Generator: 9 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3670718 | Quantity: 0,22730992720181895
9 | Generator: 5 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3670909 | Quantity: 0,2621041888970746
10 | Generator: 20 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3670947 | Quantity: 0,15529235919097395
11 | Generator: 19 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3670982 | Quantity: 0,14038806651116104
12 | Generator: 18 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3671017 | Quantity: 0,2373394124073315
13 | Generator: 2 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3671049 | Quantity: 0,15031090969389502
14 | Generator: 3 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3677762 | Quantity: 0,23519217221463357
15 | Generator: 14 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3677763 | Quantity: 0,06349613508061946
16 | Generator: 1 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3677837 | Quantity: 0,26645111491272744
17 | Generator: 15 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3677851 | Quantity: 0,010688835139086238
18 | Generator: 6 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3677852 | Quantity: 0,032961938048850406
19 | Generator: 16 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3677876 | Quantity: 0,1991570759250272
20 | Generator: 12 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3677869 | Quantity: 0,025834572823951598
----------------------------------------

----------------------------------------
1 | Generator: 7 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3678064 | Quantity: 0,12489767428094724
2 | Generator: 13 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3678092 | Quantity: 0,2283428477565802
3 | Generator: 11 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3678103 | Quantity: 0,1672450632635714
4 | Generator: 8 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3678137 | Quantity: 0,2532789371845369
5 | Generator: 4 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3678167 | Quantity: 0,08531868387261345
6 | Generator: 0 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3678185 | Quantity: 0,2364728999493983
7 | Generator: 10 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3678180 | Quantity: 0,1026035834581608
8 | Generator: 17 | Date: 11.10.2021 05:52:51 | Time: 05:52:51.3678166 | Quantity: 0,019850149884129323
9 | Generator: 10 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686049 | Quantity: 0,1688037259669371
10 | Generator: 17 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686176 | Quantity: 0,1856270129104581
11 | Generator: 6 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686240 | Quantity: 0,22074785143482242
12 | Generator: 1 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686298 | Quantity: 0,1318893823145063
13 | Generator: 2 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686333 | Quantity: 0,2653178681923625
14 | Generator: 3 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686341 | Quantity: 0,13203449665197847
15 | Generator: 18 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686366 | Quantity: 0,057916936926194595
16 | Generator: 16 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686388 | Quantity: 0,15240713911398335
17 | Generator: 5 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686402 | Quantity: 0,24014577156560452
18 | Generator: 9 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686481 | Quantity: 0,1699815012064366
19 | Generator: 4 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686487 | Quantity: 0,17580498552064952
20 | Generator: 20 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686414 | Quantity: 0,23916426535656876
----------------------------------------

----------------------------------------
1 | Generator: 11 | Date: 11.10.2021 05:52:52 | Time: 05:52:52.3686533 | Quantity: 0,08081590537019816
